#{"t_start": 1763831218.311906, "env_id": "None"}
r,l,t
6.852103,18,34.081542
6.836941,18,34.091641
6.581553,18,34.637789
6.970872,18,34.644303
6.7255106,18,34.650668
6.8452573,18,34.657414
6.685572,18,34.66369
6.9722247,18,34.67015
6.6594086,18,34.676355
6.654991,18,34.682454
6.9476542,18,34.69207
6.653129,18,34.698462
6.705002,18,34.704735
6.744183,18,34.710778
6.8168488,18,34.716812
6.8896494,18,34.723073
6.413754,18,35.11134
6.67865,18,35.117761
6.7745295,18,35.124245
6.7976832,18,35.130317
6.852153,18,35.136761
6.785419,18,35.143087
6.8519025,18,35.149232
6.8239136,18,35.155514
6.5339675,18,35.1615
6.5684094,18,35.167499
6.8739047,18,35.173894
6.7325244,18,35.180089
7.0265064,18,35.186486
6.6821227,18,35.192905
6.87716,18,35.597645
6.5997515,18,35.604308
6.832881,18,35.610852
6.8629513,18,35.617209
6.83171,18,35.623803
6.5880404,18,35.632742
6.818095,18,35.639292
6.795036,18,35.645441
6.819167,18,35.651516
6.8481107,18,35.657829
6.8294954,18,35.66398
7.0190916,18,35.670202
6.8780107,18,35.676372
6.9481187,18,35.682502
6.9122453,18,36.085782
6.8004937,18,36.09239
7.0310955,18,36.09869
6.8741193,18,36.104998
6.7005816,18,36.111213
6.9502983,18,36.117381
6.8211155,18,36.123862
6.9493704,18,36.130062
6.9274416,18,36.136251
6.958477,18,36.142423
6.6115675,18,36.150969
6.952984,18,36.157359
6.660556,18,36.163641
6.907243,18,36.169897
6.812293,18,36.586453
6.828996,18,36.593404
6.7831206,18,36.600183
6.9688582,18,36.608466
7.000517,18,36.615165
6.734406,18,36.621761
6.580245,18,36.628014
6.9478884,18,36.63416
6.852267,18,36.640895
6.787359,18,36.647075
6.576419,18,36.653304
6.8547053,18,36.659551
6.9706974,18,36.665679
6.6760683,18,36.674584
6.849453,18,36.681067
6.9428167,18,37.160628
6.9665804,18,37.166919
6.8204813,18,37.173933
6.6871877,18,37.180139
7.07802,18,37.186472
6.8939276,18,37.193087
6.872383,18,37.199419
6.790249,18,37.208798
6.681321,18,37.215305
6.8698764,18,37.221781
7.1402855,18,37.228321
6.923761,18,37.234591
6.909301,18,37.241107
6.439988,18,37.247235
6.742026,18,37.665882
6.9399123,18,37.672692
6.8561535,18,37.679216
6.772743,18,37.685599
6.7030997,18,37.69237
6.605182,18,37.698745
6.7795115,18,37.70518
7.034405,18,37.711444
6.710154,18,37.717678
6.9067154,18,37.724022
6.855342,18,37.732567
6.764962,18,37.738851
6.996645,18,37.74495
6.553717,18,37.750972
6.571143,18,38.155773
6.720915,18,38.162382
6.9462814,18,38.168793
6.880229,18,38.17514
6.6237197,18,38.181354
6.8659477,18,38.236795
6.850898,18,38.243364
7.0002375,18,38.252167
6.6812887,18,38.258852
6.691613,18,38.265131
6.814664,18,38.271912
6.936009,18,38.278864
6.899625,18,38.288667
6.9742513,18,38.296512
6.7160563,18,38.902822
7.0418124,18,38.910771
6.9550843,18,38.917109
6.8311706,18,38.923458
6.8149652,18,38.929717
6.787853,18,38.936226
6.9179068,18,38.943027
6.799817,18,38.949244
6.840601,18,38.955777
6.6478863,18,38.961991
6.9578376,18,38.968041
6.83825,18,38.974636
7.096864,18,38.980873
6.876224,18,38.987184
6.5861473,18,38.993481
6.4205565,18,39.389595
6.930644,18,39.395918
6.63136,18,39.402234
6.972289,18,39.408727
6.734617,18,39.415079
6.8938828,18,39.421456
6.9370747,18,39.430215
7.0259037,18,39.436584
6.8076024,18,39.442985
6.8685365,18,39.449288
6.7444324,18,39.455766
6.9694977,18,39.462067
6.9345922,18,39.468463
6.991714,18,39.474938
6.449728,18,39.875585
6.9251385,18,39.882094
6.66985,18,39.889083
6.9784384,18,39.895362
6.9031725,18,39.901438
6.995885,18,39.908126
6.8809094,18,39.914467
6.8559074,18,39.920952
6.6284523,18,39.927175
6.8073564,18,39.933364
6.8857336,18,39.939832
6.9981236,18,39.948573
6.6059446,18,39.955113
6.9073224,18,39.961298
7.11891,18,40.361643
7.085473,18,40.370631
6.868186,18,40.377488
6.934497,18,40.383721
7.0561914,18,40.390258
6.81648,18,40.396435
6.981235,18,40.402871
7.147074,18,40.409169
6.866238,18,40.415338
7.074257,18,40.421924
6.9654665,18,40.428304
6.8765745,18,40.434507
6.9552507,18,40.441152
6.401141,18,40.447574
6.900602,18,40.840618
7.065948,18,40.846905
6.9914007,18,40.853498
6.9807987,18,40.859924
7.090762,18,40.866174
6.960433,18,40.872874
6.8764243,18,40.879074
7.1224823,18,40.885382
6.910292,18,40.891962
6.627546,18,40.900758
6.956195,18,40.90734
7.1179266,18,40.913708
6.9132476,18,40.920057
6.830864,18,40.926495
6.6698804,18,41.31865
7.109831,18,41.326066
6.9325747,18,41.332209
6.8824286,18,41.338643
6.9453306,18,41.345012
6.8068585,18,41.351152
7.0217085,18,41.357549
7.0278373,18,41.363969
6.961836,18,41.37046
7.01913,18,41.376875
7.1897984,18,41.383126
6.882985,18,41.389504
6.899991,18,41.395717
7.051613,18,41.401966
6.910327,18,41.408175
7.0550885,18,42.061861
6.97577,18,42.068534
